year_film,year_ceremony,film,winner,film_id,audienceScore,tomatoMeter,runtimeMinutes,genre,boxOffice,days_to_ceremony,English,releaseMonth
1944,1945,Since You Went Away,0,since_you_went_away_1944,80.0,83.0,172.0,Drama,,238,Yes,7
1944,1945,Wilson,0,wilson_1944,42.0,89.0,154.0,Biography,,226,Yes,8
1945,1946,Anchors Aweigh,0,anchors_aweigh_1945,78.0,57.0,143.0,Musical,,354,Yes,7
1945,1946,The Bells of St. Mary's,0,the_bells_of_st._mary's_1945,77.0,85.0,126.0,Holiday,,208,Yes,12
1945,1946,The Lost Weekend,1,the_lost_weekend_1945,90.0,97.0,101.0,Drama,,229,Yes,11
1945,1946,Mildred Pierce,0,mildred_pierce_1945,90.0,88.0,109.0,Drama,,282,Yes,9
1945,1946,Spellbound,0,spellbound_1945,82.0,85.0,111.0,Mystery & thriller,,245,Yes,10
1946,1947,The Best Years of Our Lives,1,the_best_years_of_our_lives_1946,93.0,97.0,172.0,Drama,,112,Yes,11
1946,1947,Henry V,0,henry_v_1946,75.0,100.0,137.0,Drama,,269,Yes,6
1946,1947,It's a Wonderful Life,0,it's_a_wonderful_life_1946,95.0,94.0,129.0,Holiday,$3.3M,430,Yes,1
1946,1947,The Razor's Edge,0,the_razor's_edge_1946,71.0,60.0,146.0,Drama,,114,Yes,11
1947,1948,Crossfire,0,crossfire_1947,75.0,88.0,86.0,Crime,,242,Yes,7
1947,1948,Gentleman's Agreement,1,gentleman's_agreement_1947,77.0,82.0,118.0,Drama,,130,Yes,11
1947,1948,Miracle on 34th Street,0,miracle_on_34th_street_1947,87.0,96.0,96.0,Holiday,,323,Yes,5
1948,1949,Hamlet,1,hamlet_1948,80.0,96.0,153.0,Drama,,177,Yes,9
1948,1949,Johnny Belinda,0,johnny_belinda_1948,89.0,91.0,102.0,Drama,,191,Yes,9
1948,1949,The Red Shoes,0,the_red_shoes_1948,92.0,97.0,133.0,Drama,,199,Yes,9
1948,1949,The Snake Pit,0,the_snake_pit_1948,84.0,100.0,108.0,Drama,,131,Yes,11
1948,1949,The Treasure of the Sierra Madre,0,the_treasure_of_the_sierra_madre_1948,93.0,100.0,124.0,Adventure,,443,Yes,1
1949,1950,All the King's Men,1,all_the_king's_men_1949,78.0,97.0,109.0,Drama,,135,Yes,11
1949,1950,The Heiress,0,the_heiress_1949,93.0,100.0,115.0,Drama,,168,Yes,10
